dataset,n_models,models_used,smape_mean,smape_median,smape_fi_avg,smape_stack_svr
M1009,4,rf_knn_svr_ces,5.289999962617672,3.8797724047302204,4.85931386062929,14.506671395499819
M1009,4,rf_svr_ets_theta,6.860665704529559,7.277625405526211,6.552903818388101,14.506671396343576
M1009,4,rf_knn_arima_tbats,7.46917403416862,7.2518012819909075,7.669767941761478,14.506671110452851
M1009,4,arima_ets_tbats_ces,11.176989491906873,11.052394411596,11.239734544398114,14.506671396342444
M1009,4,knn_svr_theta_tbats,7.075551825955234,7.734335115630797,7.215499906498708,14.50631395336496
M1009,4,mlp_theta_tbats_ces,10.299055638694815,11.934471110943887,10.59615699454604,14.506671396343576
M1009,4,knn_ets_theta_ces,9.57011427698435,11.08347978469732,9.402405361722593,14.506671396343576
M1009,4,rf_knn_svr_tbats,5.118422773605992,3.8619244723358177,5.292145365845295,14.506671254767966
M1009,4,rf_knn_ets_tbats,7.507184324622848,7.323919607453639,7.818260282571181,14.506671396343576
M1009,4,rf_mlp_theta_ces,8.4178268340425,8.28761165543458,8.836169473473753,14.506671396343576
M1009,4,arima_theta_tbats_ces,11.609552323060548,11.916679165729953,11.662783878615425,14.506671198766439
M1009,4,rf_mlp_ets_ces,7.970253225993094,7.437016576176812,7.5838786899826856,14.506671396343576
M1009,3,knn_svr_arima,4.742077799927602,3.3390007971654923,4.707632637343337,14.503876964647198
M1009,3,arima_ets_theta,10.713570929033352,10.18012553914138,10.668378826608985,14.50667138704932
M1009,3,mlp_ets_tbats,8.942786234473916,10.2769238180685,9.485116707630837,14.506671396343576
M1009,3,mlp_arima_ets,8.298681164979978,10.040502519536355,8.207748009936964,14.506671396343576
M1009,3,svr_ets_ces,7.9225297896766165,10.193881415301215,7.3909973667437106,14.506671396343576
M1009,3,rf_svr_ets,5.120159125194776,4.247374698995721,5.477354894752126,14.506671396343576
M1009,3,mlp_knn_ets,6.063440662804186,4.297076334278759,5.835726225236247,14.506671396343576
M1009,3,mlp_arima_ces,9.112659669487924,10.172826526601396,9.113842335788803,14.506671396343576
M1009,3,mlp_svr_ets,5.195437710121582,4.233479560675005,5.171806578413271,14.506671396343576
M1009,3,knn_arima_ets,7.9052271550198325,10.040502519536355,7.364052062092247,14.500777945211771
M1009,3,svr_arima_theta,7.649371188101975,10.054258395696188,7.247903272465315,14.506671396343563
M1009,3,rf_theta_ces,9.671140945030766,11.952204893867874,9.878297824261798,14.506671396343576
M1009,3,rf_svr_ces,5.9451494162328995,4.365942829900929,6.334502203273927,14.506671396343576
M1009,3,mlp_knn_ces,6.8968370757167445,4.366854298110857,6.737623265251486,14.506671396343576
M1009,3,rf_mlp_knn,4.111831471146829,4.2265434854839405,4.180114583318131,14.506671396324883
M1009,3,mlp_svr_ces,6.024799597111839,4.352047691580212,6.266727713333471,14.506671396343576
M1009,3,knn_arima_ces,8.722559975705057,10.103048562769299,8.415365218458984,14.506673072751141
M1009,3,rf_knn_tbats,6.592020708939741,4.3603236016066,6.266186060179929,14.506648348669648
M1009,3,rf_theta_tbats,9.45264440021543,11.916679165729953,9.54359788421647,14.506671396343576
M1009,3,rf_svr_tbats,5.717878161819713,4.3304171017630075,5.664358898260287,14.506671396343576
M1009,3,rf_ets_tbats,8.861981297585436,10.2769238180685,8.90944722511046,14.506671396343576
M1009,3,svr_tbats_ces,8.519121154937235,11.916679165729953,8.671973038242973,14.506671396343576
M1009,3,mlp_theta_ces,9.751310994081807,11.952204893867874,9.408749404216577,14.506671396343576
M1009,3,arima_tbats_ces,11.506953573056098,11.916679165729953,11.54486309170245,14.506671396343576
M1009,3,knn_arima_tbats,8.501859972546349,10.103048562769299,8.151083222249593,14.506575440916816
M1009,3,knn_svr_theta,5.393316722988115,3.3877909642386026,4.751618584189464,14.50518101788415
M1009,3,rf_arima_theta,8.81201977781176,10.137300798463473,8.576013033751815,14.506671396343576
M1009,3,mlp_theta_tbats,9.53298568078102,11.916679165729953,9.55961008043271,14.506671396343576
M1009,3,knn_ets_tbats,8.551987713775402,10.242671582374326,8.568115102769136,14.506671396343576
M1009,3,mlp_knn_svr,3.0253632266629147,3.372984357707959,3.1298107344081427,14.50655140830914
M1009,3,rf_knn_ets,5.983196960755767,4.326071365912424,6.268175535062751,14.506136808247094
M1009,3,rf_tbats_ces,9.671140945030766,11.952204893867874,9.770486645047864,14.506671396343576
M1009,3,arima_ets_tbats,10.713570929033352,10.18012553914138,10.720711298432416,14.50667138704932
M1009,3,mlp_knn_arima,6.011979017854994,4.297076334278759,6.009206762802085,14.506259485048092
M1009,3,svr_theta_tbats,8.297926242090277,11.916679165729953,8.457383420184602,14.506671396343576
