dataset,n_models,models_used,rmse_mean,rmse_median,rmse_fi_avg,rmse_stack_svr
M1004,5,knn_arima_ets_tbats_ces,132.08934399696378,145.1947887311558,123.81131565803038,125.6148052066692
M1004,5,svr_ets_theta_tbats_ces,126.92763919815765,145.2289994035336,113.23430039334049,128.6619864310159
M1004,5,rf_mlp_knn_svr_arima,91.89010753780114,86.99713949350371,88.48922283315557,128.66201639323657
M1004,5,rf_mlp_svr_arima_tbats,100.38349794268126,86.67089878378361,90.55558789499821,128.6620608436179
M1004,5,mlp_knn_arima_tbats_ces,117.67848738057849,143.58726335218964,111.14089516414478,128.6600848328198
M1004,5,mlp_svr_ets_tbats_ces,111.76204131594989,143.58726335218964,103.91803448409843,128.661986966643
M1004,5,rf_knn_ets_theta_ces,117.1450122316778,143.58726335218964,104.05156609476536,128.6928829805764
M1004,5,knn_ets_theta_tbats_ces,132.48410524054395,145.2289994035336,117.2551133415846,128.6621566988307
M1004,5,knn_svr_arima_tbats_ces,113.7062496311907,143.58726335218964,97.63203584887438,128.66186366554757
M1004,5,mlp_knn_arima_ets_theta,117.96331296914774,145.2289994035336,110.12219770291212,128.66198696541662
M1004,5,rf_mlp_knn_theta_ces,105.05389125381389,89.84388397549527,99.1607562167856,128.66199534051307
M1004,5,rf_arima_theta_tbats_ces,131.18112913926217,147.1819227045072,121.37937887579362,124.36204138188126
M1004,5,rf_mlp_ets_tbats_ces,115.53301463349442,143.58726335218964,107.64945068952298,128.66198696541662
M1004,5,svr_arima_ets_theta_tbats,127.63735466940113,147.1819227045072,116.3320926729609,128.35647629197643
M1004,5,rf_mlp_svr_ets_tbats,100.08418926025165,86.67089878378361,92.79997928953227,128.6630276976702
M1004,5,rf_mlp_arima_theta_ces,115.8718725772237,143.58726335218964,104.75389798095048,128.66198696541662
M1004,5,rf_knn_ets_theta_tbats,118.18203707682602,145.2289994035336,98.02095099297712,128.7155237591408
M1004,5,rf_svr_arima_ets_ces,111.41707780380216,143.55266143093436,103.62119110717286,128.66198696541662
M1004,5,mlp_knn_svr_ets_ces,100.86678512090813,89.60876193002814,97.79038418636324,128.66198696541662
M1004,5,rf_knn_svr_ets_tbats,100.83708972630676,89.56839877538127,91.86454513284333,128.6760665465631
M1004,5,rf_mlp_arima_theta_tbats,116.8533029765992,147.1819227045072,103.0915361677678,128.66198696541662
M1004,5,rf_knn_arima_ets_ces,116.77345193500332,143.55266143093436,106.01823221898707,128.6609612291494
M1004,5,mlp_knn_svr_arima_theta,102.01494061173254,89.60876193002814,95.42004723128584,128.66084546443133
M1004,5,rf_mlp_knn_arima_theta,105.60764372034734,89.84388397549527,96.27853757127619,128.66198697160974
M1004,5,rf_svr_arima_theta_tbats,113.19636472257305,147.1819227045072,93.7207168732749,126.88876053171887
M1004,5,rf_arima_ets_tbats_ces,130.4000802603037,145.1947887311558,124.62095390585263,124.29057382609255
M1004,5,mlp_knn_ets_theta_ces,117.34207595176986,143.58726335218964,110.99085554195425,128.66198696541662
M1004,5,rf_knn_ets_tbats_ces,117.1450122316778,143.58726335218964,99.12938620695827,128.6928829805764
M1004,5,rf_knn_arima_ets_tbats,117.80814775471504,145.2289994035336,102.51328605831158,126.61250001125521
M1004,5,rf_mlp_knn_svr_theta,92.13909012450495,86.99713949350371,87.05271346864562,128.66199443562712
M1004,5,rf_mlp_knn_ets_theta,105.3069087607397,89.84388397549527,96.22204424752094,128.66199093127832
M1004,5,mlp_svr_arima_ets_ces,111.41275935190723,143.55266143093436,113.88347202740391,128.66198696541662
M1004,5,rf_knn_arima_theta_tbats,118.5434451109311,147.1819227045072,99.49298363117067,126.62132918462659
M1004,5,mlp_knn_svr_tbats_ces,101.46682649451472,89.60876193002814,95.13539135473519,128.66198696541662
M1004,5,svr_arima_ets_theta_ces,126.52958528465541,145.1947887311558,125.44408767794621,128.6619868261829
M1004,5,mlp_arima_ets_tbats_ces,129.8310998904033,145.1947887311558,122.19214540403158,128.66198696541662
M1004,5,rf_mlp_svr_ets_ces,99.22918219664616,86.67089878378361,101.50276813217978,128.66198696541662
M1004,5,rf_mlp_arima_ets_theta,116.15876432454343,145.2289994035336,103.74416658800259,128.66198696541662
M1004,5,mlp_knn_ets_theta_tbats,118.31385058130677,145.2289994035336,106.4640987395911,128.66198696541662
M1004,5,rf_knn_theta_tbats_ces,117.87740777282605,143.58726335218964,100.33876265746309,128.69276169905456
M1004,5,rf_knn_svr_ets_ces,99.90393030060048,89.56839877538127,97.42439496940182,128.6619869654882
M1004,5,mlp_svr_arima_ets_tbats,112.38599478031672,145.2289994035336,106.97459610427616,128.66147294034712
M1004,5,rf_svr_ets_theta_tbats,112.83301890563953,145.2289994035336,93.15143526667012,128.62554670128466
M1004,5,knn_svr_arima_ets_theta,114.01004089855597,145.2289994035336,99.4633799810819,128.66222825331846
M1004,5,rf_mlp_svr_theta_tbats,100.69518918656343,86.67089878378361,87.77442124679713,128.6632809524991
M1004,5,rf_ets_theta_tbats_ces,130.79736291792614,145.2289994035336,117.61802259011475,128.6620054413229
M1004,5,rf_svr_arima_theta_ces,112.15159636840352,143.58726335218964,99.88901625991109,128.66198696541662
M1004,5,rf_knn_svr_arima_theta,101.16317952234914,89.56839877538127,91.84674140192115,128.66200261011744
M1004,5,mlp_knn_arima_ets_tbats,117.96331296914774,145.2289994035336,108.71288068487854,128.66198696541662
M1004,5,rf_knn_svr_theta_tbats,101.50245151789537,89.56839877538127,86.40091014036751,128.6754101852802
M1004,5,rf_mlp_svr_arima_theta,100.38349794268126,86.67089878378361,91.10551914088741,128.6620608436179
M1004,5,knn_svr_theta_tbats_ces,114.07926679230592,143.58726335218964,96.21140245952257,128.66198700622888
M1004,5,mlp_arima_ets_theta_ces,129.8310998904033,145.1947887311558,124.80672201251281,128.66198696541662
M1004,5,mlp_svr_arima_tbats_ces,112.09991000229863,143.58726335218964,104.1038966349996,128.66198696541662
M1004,5,rf_knn_arima_theta_ces,117.50419474334728,143.58726335218964,101.79700312991315,128.66101009534316
M1004,5,rf_knn_svr_tbats_ces,100.56257899076085,89.56839877538127,92.14126162967753,128.66198696545723
M1004,5,svr_arima_ets_tbats_ces,126.52958528465541,145.1947887311558,120.43335642862397,128.6619868261829
M1004,5,rf_mlp_knn_tbats_ces,105.05389125381389,89.84388397549527,97.1361575761404,128.66199534051307
M1004,5,mlp_arima_ets_theta_tbats,130.88407082992012,147.1819227045072,121.451176857518,128.66216512753124
M1004,5,rf_mlp_arima_tbats_ces,115.8718725772237,143.58726335218964,109.3330208822419,128.66198696541662
M1004,5,mlp_knn_svr_arima_tbats,102.01494061173254,89.60876193002814,93.04176764833154,128.66084546443133
M1004,5,knn_svr_ets_theta_tbats,114.38375785767293,145.2289994035336,98.78341435397903,128.66199429818093
M1004,5,rf_mlp_knn_arima_tbats,105.60764372034734,89.84388397549527,97.7287459396443,128.66198697160974
M1004,5,mlp_svr_arima_theta_ces,112.09991000229863,143.58726335218964,105.541664765221,128.66198696541662
M1004,5,rf_mlp_theta_tbats_ces,116.22415423890546,143.58726335218964,104.3726275779161,128.66198696541662
M1004,5,rf_svr_arima_tbats_ces,112.15159636840352,143.58726335218964,100.27084570287454,128.66198696541662
M1004,5,rf_svr_ets_theta_ces,111.79054672267019,143.58726335218964,102.45472222366077,128.66198696546004
M1004,5,rf_mlp_svr_theta_ces,99.83243355215515,86.67089878378361,91.72122661922363,128.66198696541662
M1004,5,svr_arima_theta_tbats_ces,127.3121622137964,147.1819227045072,111.90704152815924,128.66198659948935
M1004,5,rf_svr_arima_ets_theta,112.45714583278989,145.2289994035336,99.93976387535456,126.83542085144927
M1004,5,mlp_knn_svr_ets_theta,101.71723634383716,89.60876193002814,96.28582689477207,128.66198696541662
M1004,5,mlp_knn_arima_ets_ces,116.99426546733099,143.55266143093436,108.77008755304891,128.6602889019177
M1004,5,rf_mlp_knn_svr_tbats,92.13909012450495,86.99713949350371,87.16063373865818,128.66199443562712
M1004,5,rf_mlp_knn_ets_tbats,105.3069087607397,89.84388397549527,97.20775758542919,128.66199093127832
M1004,5,rf_knn_svr_theta_ces,100.56257899076085,89.56839877538127,92.78076507626949,128.66198696545723
M1004,5,mlp_svr_arima_theta_tbats,113.0786924879506,147.1819227045072,96.25601734495751,128.66144129515052
M1004,5,knn_arima_ets_theta_tbats,133.18794739129075,147.1819227045072,116.59415302443472,125.60557022075673
M1004,5,rf_knn_arima_ets_theta,117.80814775471504,145.2289994035336,104.29799002247445,126.61250001125521
M1004,5,rf_mlp_ets_theta_ces,115.53301463349442,143.58726335218964,104.51500071818356,128.66198696541662
M1004,5,mlp_knn_ets_tbats_ces,117.34207595176986,143.58726335218964,112.54957568468232,128.66198696541662
M1004,4,rf_mlp_svr_tbats,92.63455701904866,85.62438832148217,85.70954479489218,128.66419390906626
M1004,4,knn_ets_theta_tbats,129.8609736466918,147.21791869078612,111.4479499002489,128.6937505009244
M1004,4,mlp_arima_ets_tbats,126.80108901292716,146.18699173444378,117.34665703470166,128.6622942699836
M1004,4,svr_arima_ets_ces,121.12355000970571,144.3570606328326,120.95322794760497,128.66181867159196
M1004,4,rf_mlp_arima_theta,110.2469701845813,111.17062608992072,99.73269208043989,128.66198696541662
M1004,4,rf_mlp_ets_tbats,109.85079218840232,110.32755221144858,99.32697242454184,128.66198696541662
M1004,4,svr_ets_tbats_ces,121.61361327838716,144.37343014120617,109.66026629494675,128.66198557726713
M1004,4,mlp_knn_svr_theta,94.57746631802233,88.57345205935326,89.99816206164108,128.66198696541662
M1004,4,mlp_knn_svr_arima,94.25814792142737,88.57345205935326,92.64583469691368,128.21401037169164
M1004,4,knn_svr_ets_theta,106.68873977372593,113.39440521779169,97.42412983374108,128.6620000166789
M1004,4,mlp_svr_theta_ces,104.98031770925752,108.9200073465327,98.92396784150621,128.66198853211344
